"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-IRR","SUM  HASL NON-IRR","SUM  LASL NON-IRR","SUM  BASE POINT WGR","SUM   HASL  WGR","SUM  LASL WGR","SUM  BASE POINT PVGR","SUM   HASL  PVGR","SUM  LASL PVGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"09/01/2021 00:00:46","N","33947.46573507","47565.94888925","25426.32718276","14730.12669825","14730.9941978",".38999999","1.75494781","1.7552567",".00001","3918.6861605","4709.71312046","2924.88582229","52784.43843"
"09/01/2021 00:15:12","N","32798.45183241","47005.68479633","24750.92303848","14998.04718756","14999.12458749",".38999999","1.75494781","1.7552567",".00001","3920.68288993","4495.57094669","2926.52898025","52007.58269"
"09/01/2021 00:30:11","N","31890.97961759","45396.1075778","23964.48556137","15219.89140248","15220.61048264",".38999999","1.76494781","1.7652567",".00001","3919.40396596","4497.72684574","2929.22834396","51219.92493"
"09/01/2021 00:45:12","N","30962.11175894","43341.00685739","22804.38477706","15462.0377599","15462.96220238",".38999999","1.74494781","1.7452567",".00001","3923.15237875","4501.66254901","2932.23109054","50635.2076"
"09/01/2021 01:00:19","N","29788.56238158","43451.19956445","22726.1538062","15881.3122271","15881.72672753",".38999999","1.75494781","1.7552567",".00001","3936.99483719","4472.05086708","2939.39073562","49836.47219"
"09/01/2021 01:15:12","N","29430.53219065","43454.20052719","22723.35741186","15910.53738969","15911.48697008",".38999999","1.75494781","1.7552567",".00001","3938.81102946","4478.78747367","2947.39225006","49329.37887"
"09/01/2021 01:30:11","N","28879.81310665","43453.95728874","22728.13371038","15857.63281375","15857.71218062",".38999999","1.75494781","1.7552567",".00001","3907.98384603","4448.28161716","2915.00246334","48736.46829"
"09/01/2021 01:45:13","N","28656.77531862","43457.08949327","22734.02473831","15613.02969169","15613.52889175",".38999999","1.8121646","1.81247349",".00001","3938.42132572","4479.93466377","2946.83153152","48234.28177"
"09/01/2021 02:00:17","N","28288.59945619","43434.56495952","22709.28949642","15418.84847283","15419.20937295",".38999999","1.7521646","1.75247349",".00001","3939.55799449","4480.62042427","2946.83227539","47661.11168"
"09/01/2021 02:15:11","N","28148.25317931","43433.66657733","22712.35082912","15089.73363268","15091.03123266",".38999999","1.7521646","1.75247349",".00001","3941.45516511","4483.15343284","2949.03485107","47152.55279"
"09/01/2021 02:30:11","N","28236.19156014","43433.39047861","22711.24509334","14758.7929877","14759.62909801",".38999999","1.7521646","1.75247349",".00001","3937.74054497","4480.00243186","2946.35192871","46846.56577"
"09/01/2021 02:45:11","N","28248.52331984","43431.57547855","22707.41281032","14402.00056767","14403.01747651",".38999999","1.7521646","1.75247349",".00001","3938.84937635","4480.7529087","2946.91271972","46452.111"
"09/01/2021 03:00:16","N","28152.43919956","43465.44336891","22749.45186567","14127.22886496","14127.90486766",".38999999","1.80753569","1.80784458",".00001","3941.55260986","4527.01747417","2949.84936523","46145.59371"
"09/01/2021 03:15:08","N","28282.86881983","43462.10899639","22744.36738371","13791.42103517","13792.2983547",".38999999","1.70494781","1.7052567",".00001","3946.14755706","4487.6446104","2909.13488769","45967.2111"
"09/01/2021 03:30:07","N","28214.15143871","43470.14059543","22756.83367633","13640.05819895","13640.26029036",".38999999","1.68494781","1.6852567",".00001","3946.02193301","4487.45201396","2908.33483886","45699.34789"
"09/01/2021 03:45:09","N","28113.93618202","43469.19564723","22759.35806655","13505.46868878","13505.84308911",".38999999","1.69494781","1.6952567",".00001","3947.05644109","4488.52000713","2909.5546875","45537.78922"
"09/01/2021 04:00:13","N","28065.44908893","43418.70239925","22748.21059799","13505.00898319","13506.30798317",".38999999","1.69494781","1.6952567",".00001","3948.62060797","4489.42961406","2910.51501464","45366.74329"
"09/01/2021 04:15:09","N","28546.16772437","43421.49128532","22741.26179909","13265.58389008","13266.24709351",".38999999","1.8121646","1.81247349",".00001","3952.18232738","4495.87275218","2916.1362915","45595.73935"
"09/01/2021 04:30:07","N","28819.9421184","43745.90051698","22883.2539103","12767.59028244","12767.95475693",".38999999","1.80216461","1.80247349",".00001","3949.74359115","4491.52175426","2912.03845214","45341.30734"
"09/01/2021 04:45:08","N","29375.88117403","44073.9459939","23051.07494735","12256.83789873","12258.1698987",".38999999","1.82216461","1.82247349",".00001","3945.40302725","4488.45684337","2909.55566406","45365.06255"
"09/01/2021 05:00:12","N","29566.0714275","44263.25379085","23268.12814235","12061.05774521","12062.01254506",".38999999","1.8121646","1.81247349",".00001","3949.96277824","4501.77323722","2912.03607177","45330.96581"
"09/01/2021 05:15:08","N","30310.18524515","44425.34749794","23374.12906885","11929.03573","11929.64385111",".38999999","1.8021646","1.80247349",".00001","3948.56176254","4501.28013038","2912.09771728","45908.08346"
"09/01/2021 05:30:08","N","30773.50683379","44910.90822505","23638.77067947","11688.14643836","11689.20084376",".38999999","1.8121646","1.81247349",".00001","3950.28645465","4502.71470069","2912.51977539","46070.33385"
"09/01/2021 05:45:08","N","31600.26099842","46464.43832445","24393.97172623","11398.16801989","11398.58471949",".38999999","1.82216461","1.82247349",".00001","3949.9135683","4503.13965797","2912.41870117","46691.58836"
"09/01/2021 06:00:11","N","32215.94951736","46345.9962697","24304.14207077","11065.06817793","11064.8279614",".38999999","1.83216461","1.83247349",".00001","3917.94284644","4479.72760677","2914.15698242","46879.62653"
"09/01/2021 06:15:08","N","33645.15527796","46267.61601305","24394.10039138","10877.38870432","10878.40500424",".38999999","1.83216461","1.83247349",".00001","3914.83329659","4479.85222768","2911.57873535","47974.14716"
"09/01/2021 06:30:07","N","33784.65749955","46490.19872093","24532.22361373","10730.3579449","10730.95918668",".38999999","1.82216461","1.82247349",".00001","3917.71989208","4482.60730504","2913.93957519","48246.30764"
"09/01/2021 06:45:07","N","34283.88920056","47444.32847213","25040.2274208","10657.71508765","10658.35700364",".38999999","1.82216461","1.82247349",".00001","3916.04082202","4480.61198568","2911.19946289","48663.47152"
"09/01/2021 07:00:11","N","34641.76531827","47473.80885028","25092.05277633","10336.07853849","10336.69383838",".38999999","1.83216461","1.83247349",".00001","3918.60502246","4506.78068828","2915.65911865","48759.15388"
"09/01/2021 07:15:07","N","34828.63621735","47591.31067085","25130.55340194","10195.3007836","10195.76953189",".38999999","7.44507047","7.64537933",".00001","3973.82958461","4507.7766571","2913.19927978","48924.54604"
"09/01/2021 07:30:07","N","35059.15249478","47595.90714931","25133.03928756","9888.69373206","9889.03368472",".38999999","56.07376746","58.37376717","2.03225154","3953.1625582","4605.86666488","2911.32061767","48857.90605"
